,state,tested_delta,vaccinated1_delta,vaccinated2_delta,confirmed_delta,deceased_delta,recovered_delta,other_delta,confirmed_delta21_14,confirmed_delta7,recovered_delta7,tested_delta7,vaccinated1_delta7,vaccinated2_delta7,deceased_delta7,other_delta7,date_meta,last_updated_meta,population_meta,confirmed_total,deceased_total,recovered_total,tested_total,vaccinated1_total,vaccinated2_total,other_total
0,AN,1376,3,13,,,,,9,3,5,8936,884,10640,,,31-10-2021,2021-11-01T11:03:10+05:30,397000,7651,129,7518,598033,294001,200157,
1,AP,39848,20497,24137,385,4,675,,3220,2873,3590,254532,1223010,1887005,30,,31-10-2021,2021-11-01T09:54:14+05:30,52221000,2066450,14373,2047722,29518787,32976969,20375181,
2,AR,334,42,195,1,,9,,87,66,97,4788,3312,23647,,,31-10-2021,2021-11-01T11:20:24+05:30,1504000,55155,280,54774,1185436,771875,534486,
3,AS,15060,19124,37463,212,1,236,,1499,2056,2215,269097,274869,849889,24,,31-10-2021,2021-11-01T09:54:14+05:30,34293000,610645,5997,600974,24712042,20172463,8068795,1347
4,BR,226443,114694,145827,8,,9,,30,40,31,1378539,1286708,2144970,,,31-10-2021,2021-11-01T09:54:14+05:30,119520000,726098,9661,716390,50531824,49874828,18346781,1
5,CH,1403,211,1282,5,,3,,23,28,20,10726,3680,21641,,,31-10-2021,2021-11-01T09:54:14+05:30,1179000,65351,820,64495,792851,926035,546981,
6,CT,11869,21312,39393,32,1,32,,124,205,103,147451,379374,604260,5,,31-10-2021,2021-11-01T09:54:14+05:30,28724000,1006052,13577,992159,13709510,14851682,7343273,
7,DL,56751,12482,11839,45,,46,,195,267,239,395086,160323,269146,,,31-10-2021,2021-11-01T09:54:14+05:30,19814000,1439870,25091,1414431,29427753,13055636,7425404,
8,DN,,3,20,,,1,,4,,2,,2802,14244,,,31-10-2021,2021-11-01T09:54:14+05:30,959000,10681,4,10644,72410,660753,370255,31
9,GA,2361,2572,12404,23,,53,,409,222,409,19026,8418,46494,6,,31-10-2021,2021-11-01T09:54:14+05:30,1540000,178108,3364,174392,1468399,1262568,911114,
10,GJ,34282,14685,62096,20,,23,,149,159,116,328489,335172,1660382,2,,31-10-2021,2021-11-01T09:54:14+05:30,67936000,826577,10089,816283,30928063,44735217,25972387,
11,HP,3613,371,8192,85,1,198,,958,1537,1154,64352,13244,234011,20,-1,31-10-2021,2021-11-01T09:54:14+05:30,7300000,224106,3738,218410,3685011,5713695,3443823,16
12,HR,20588,7867,15801,11,,10,,83,95,87,148110,160777,368141,,,31-10-2021,2021-11-01T09:54:14+05:30,28672000,771252,10049,761068,13032504,17772376,8115463,
13,JH,31238,41034,51488,10,,8,,78,137,250,464579,299587,428313,3,,31-10-2021,2021-11-01T09:54:14+05:30,37403000,348764,5138,343518,15985878,14986646,5585648,
14,JK,38915,1584,45202,95,,79,,529,611,572,254608,33383,414843,3,,31-10-2021,2021-11-01T09:54:14+05:30,13203000,332249,4432,326915,16202346,9511073,5149471,
15,KA,106939,17604,28163,292,11,345,,2432,2347,2339,724215,623591,1373861,75,,31-10-2021,2021-11-01T09:54:14+05:30,65798000,2988333,38082,2941578,50873103,42497761,22858384,29
