state_code,district,population,tested,deaths,TR,category
AP,Anantapur,4083315,787085,1093,0.19,B
AP,Chittoor,4170468,780322,1,0.19,B
AP,East Godavari,5151549,944746,1290,0.18,B
AP,Guntur,4889230,833823,4,0.17,B
AP,Krishna,4529009,782232,1,0.17,B
AP,Kurnool,4046601,867361,853,0.21,B
AP,Prakasam,3392764,697340,3,0.21,B
AP,S.P.S. Nellore,2966082,682964,1,0.23,B
AP,Srikakulam,2699471,670899,786,0.25,B
AP,Visakhapatnam,4288113,744983,1,0.17,B
AP,Vizianagaram,2342868,531433,1,0.23,B
AP,West Godavari,3934782,793098,4,0.2,B
AP,Y.S.R. Kadapa,2884524,671761,644,0.23,B
AR,Anjaw,21089,2845,3,0.13,B
AR,Changlang,147951,23861,22,0.16,B
AR,East Siang,99019,21867,17,0.22,B
AR,Kurung Kumey,89717,4201,1,0.05,A
AR,Lohit,145538,14945,26,0.1,B
AR,Longding,60000,10342,2,0.17,B
AR,Lower Dibang Valley,53986,12169,11,0.23,B
AR,Lower Siang,80597,7070,8,0.09,A
AR,Lower Subansiri,82839,10564,15,0.13,B
AR,Namsai,95950,19987,17,0.21,B
AR,Papum Pare,176385,41960,98,0.24,B
AR,Siang,31920,4270,3,0.13,B
AR,Tawang,49950,14224,20,0.28,B
AR,Tirap,111997,14657,5,0.13,B
AR,Upper Dibang Valley,7948,1910,2,0.24,B
AR,Upper Siang,35289,6564,1,0.19,B
AR,Upper Subansiri,83205,6217,6,0.07,A
AR,West Kameng,87013,28155,14,0.32,C
AR,West Siang,112272,13192,6,0.12,B
BR,Araria,2806200,219221,116,0.08,A
BR,Arwal,700843,101624,74,0.15,B
BR,Aurangabad,2511243,412007,75,0.16,B
BR,Banka,2029339,364776,112,0.18,B
BR,Begusarai,2954367,213670,457,0.07,A
BR,Bhagalpur,3032226,582113,309,0.19,B
BR,Bhojpur,2720155,466438,159,0.17,B
BR,Buxar,1707643,461428,182,0.27,B
BR,Darbhanga,3921971,448442,370,0.11,B
BR,East Champaran,5082868,548132,430,0.11,B
BR,Gaya,4379383,872359,280,0.2,B
BR,Gopalganj,2558037,562654,94,0.22,B
BR,Jamui,1756078,342005,106,0.19,B
BR,Jehanabad,1124176,492255,109,0.44,C
BR,Kaimur,1626900,442332,147,0.27,B
BR,Katihar,3068149,556438,94,0.18,B
BR,Khagaria,1657599,148340,88,0.09,A
BR,Kishanganj,1690948,294321,66,0.17,B
BR,Lakhisarai,1000717,332434,102,0.33,C
BR,Madhepura,1994618,455482,111,0.23,B
BR,Madhubani,4476044,715168,339,0.16,B
BR,Munger,1359054,325212,158,0.24,B
BR,Muzaffarpur,4778610,722651,621,0.15,B
BR,Nalanda,2872523,591346,468,0.21,B
BR,Nawada,2216653,322514,178,0.15,B
BR,Patna,5772804,676238,2334,0.12,B
BR,Purnia,3273127,568756,180,0.17,B
BR,Rohtas,2962593,521553,271,0.18,B
BR,Saharsa,1897102,356327,134,0.19,B
BR,Samastipur,4254782,614569,155,0.14,B
BR,Saran,3943098,761473,255,0.19,B
BR,Sheikhpura,634927,142348,75,0.22,B
BR,Sheohar,656916,199431,36,0.3,C
BR,Sitamarhi,3419622,453227,127,0.13,B
BR,Siwan,3318176,536438,170,0.16,B
BR,Supaul,2228397,456511,129,0.2,B
BR,West Champaran,3935042,551778,358,0.14,B
CT,Balod,826165,2749,396,0,F
CT,Baloda Bazar,1305343,3816,471,0,F
CT,Balrampur,598855,21481,118,0.04,F
CT,Bametara,197035,3113,236,0.02,F
CT,Bastar,1302253,4522,188,0,F
CT,Bijapur,229832,1239,55,0.01,F
CT,Bilaspur,1961922,9823,2,0.01,F
CT,Dakshin Bastar Dantewada,533638,1168,25,0,F
CT,Dhamtari,799199,1501,545,0,F
CT,Durg,3343079,5020,1,0,F
CT,Gariaband,597653,2096,194,0,F
CT,Janjgir Champa,1620632,4016,1,0,F
CT,Jashpur,852043,2542,212,0,F
CT,Kabeerdham,584667,2829,267,0,F
CT,Kondagaon,578326,1607,99,0,F
CT,Korba,1206563,10034,580,0.01,F
CT,Koriya,659039,2689,1,0,F
CT,Mahasamund,1032275,2183,365,0,F
CT,Mungeli,701707,2922,167,0,F
CT,Narayanpur,140206,804,14,0.01,F
CT,Raigarh,1493627,5084,978,0,F
CT,Raipur,4062160,12704,3139,0,F
CT,Rajnandgaon,1537520,124947,515,0.08,A
CT,Sukma,249000,1723,20,0.01,F
CT,Surajpur,660280,1830,224,0,F
CT,Surguja,420661,103578,245,0.25,B
CT,Uttar Bastar Kanker,748593,2051,224,0,F
GJ,Ahmedabad,7208200,2556492,3411,0.35,C
GJ,Amreli,1513614,212265,102,0.14,B
GJ,Anand,2090276,171851,49,0.08,A
GJ,Aravalli,1051746,122182,78,0.12,B
GJ,Banaskantha,3116045,218527,162,0.07,A
GJ,Bharuch,1550822,156057,118,0.1,B
GJ,Bhavnagar,2877961,392834,301,0.14,B
GJ,Botad,656005,98559,42,0.15,B
GJ,Chhota Udaipur,1071831,93838,38,0.09,A
GJ,Dahod,2126558,218259,38,0.1,B
GJ,Dang,226769,31921,18,0.14,B
GJ,Devbhumi Dwarka,752484,80424,82,0.11,B
GJ,Gandhinagar,1387478,292598,205,0.21,B
GJ,Gir Somnath,1217477,121948,67,0.1,B
GJ,Jamnagar,2159130,307911,478,0.14,B
GJ,Junagadh,2742291,199699,272,0.07,A
GJ,Kheda,2298934,218140,48,0.09,A
GJ,Kutch,2090313,267060,145,0.13,B
GJ,Mahisagar,994624,122796,72,0.12,B
GJ,Mehsana,2027727,229904,177,0.11,B
GJ,Morbi,960329,157321,87,0.16,B
GJ,Narmada,590379,76134,15,0.13,B
GJ,Navsari,1330711,129099,24,0.1,B
GJ,Panchmahal,2388267,160981,70,0.07,A
GJ,Patan,1342746,169059,129,0.13,B
GJ,Porbandar,586062,97912,19,0.17,B
GJ,Rajkot,3157676,731251,725,0.23,B
GJ,Sabarkantha,2427346,182090,157,0.08,A
GJ,Surat,4996391,1938229,1,0.39,C
GJ,Surendranagar,1755873,201153,136,0.11,B
GJ,Tapi,806489,92524,24,0.11,B
GJ,Vadodara,3639775,695670,788,0.19,B
GJ,Valsad,1703068,155380,1,0.09,A
HP,Kinnaur,84298,6730,38,0.08,A
HP,Lahaul and Spiti,31528,540,18,0.02,F
HP,Mandi,999518,41895,3,0.04,F
HP,Sirmaur,530164,42564,211,0.08,A
HP,Solan,576670,57200,314,0.1,B
HR,Ambala,1136784,206003,509,0.18,B
HR,Bhiwani,1629109,176225,652,0.11,B
HR,Charkhi Dadri,502276,58525,139,0.12,B
HR,Faridabad,1798954,504970,716,0.28,B
HR,Fatehabad,941522,27456,481,0.03,F
HR,Gurugram,1514085,742619,922,0.49,C
HR,Hisar,1742815,322039,1136,0.18,B
HR,Jhajjar,956907,186853,328,0.2,B
HR,Jind,1332042,11157,533,0.01,F
HR,Kaithal,1072861,11687,346,0.01,F
HR,Karnal,1506323,185147,552,0.12,B
HR,Kurukshetra,964231,198881,357,0.21,B
HR,Mahendragarh,921680,143253,155,0.16,B
HR,Nuh,1089406,93389,123,0.09,A
HR,Palwal,1040493,139809,153,0.13,B
HR,Panchkula,558890,118725,378,0.21,B
HR,Panipat,1202811,58863,638,0.05,A
HR,Rewari,896129,151363,221,0.17,B
