Date,Type,Check_case,AN,AP,AR,AS,BR,CH,CT,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UP,UT,WB
26-03-2020,delta,confirmed,1,1,0,0,3,0,3,4,0,0,6,0,1,0,3,4,19,0,0,3,0,0,5,0,0,1,2,0,5,0,4,3,0,4,0,1
26-03-2020,delta7,confirmed,1,8,0,0,7,6,5,25,0,3,42,3,15,0,10,40,109,5,0,77,0,1,20,1,0,1,31,0,34,0,29,26,0,22,2,9
26-03-2020,total,confirmed,1,11,0,0,7,7,6,39,0,3,44,3,32,0,14,55,137,13,0,125,0,1,20,1,0,3,33,1,43,0,45,29,0,42,5,10
27-03-2020,delta,confirmed,5,2,0,0,2,1,0,1,0,0,3,0,1,0,6,9,39,0,0,28,0,0,9,0,0,0,5,0,7,0,14,9,0,7,0,5
27-03-2020,delta7,confirmed,6,10,0,0,9,3,5,20,0,3,40,1,14,0,16,49,136,3,0,101,0,1,25,1,0,1,35,0,33,0,40,35,0,25,2,13
27-03-2020,total,confirmed,6,13,0,0,9,8,6,40,0,3,47,3,33,0,20,64,176,13,0,153,0,1,29,1,0,3,38,1,50,0,59,38,0,49,5,15
28-03-2020,delta,confirmed,3,6,0,0,2,0,1,9,0,0,8,0,2,0,13,12,6,0,0,28,0,0,10,0,0,0,0,0,4,0,8,4,0,16,1,3
28-03-2020,delta7,confirmed,9,14,0,0,11,3,6,22,0,3,41,1,14,0,29,56,130,0,0,117,0,1,35,1,0,1,25,0,30,0,46,36,0,37,3,14
28-03-2020,total,confirmed,9,19,0,0,11,8,7,49,0,3,55,3,35,0,33,76,182,13,0,181,0,1,39,1,0,3,38,1,54,0,67,42,0,65,6,18
29-03-2020,delta7,confirmed,9,15,0,0,13,2,6,44,0,5,45,1,14,0,34,57,135,0,0,129,0,1,33,1,0,1,17,0,30,0,43,41,0,42,4,14
29-03-2020,total,confirmed,9,21,0,0,15,8,7,72,0,5,63,3,35,0,38,83,202,13,0,203,0,1,39,1,0,3,38,1,59,0,70,50,0,72,7,21
30-03-2020,delta,confirmed,1,2,0,0,0,5,1,25,0,0,7,0,1,0,11,5,32,0,0,17,0,0,8,0,0,0,3,0,20,0,7,17,0,24,0,1
